N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	48	1	1	3.666667	15.41667	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.108
1	49	1	1	2.5	17.5	0	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.108
1	50	1	1	2.5	18.75	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.108
1	51	1	1	2.5	17.5	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.109
1	52	1	1	4.833333	18.75	0	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.215
1	53	1	1	4.833333	16.25	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.109
1	54	1	1	2.5	17.91667	0	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.107
1	55	1	1	3.666667	16.66667	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.109
1	56	1	1	2.5	16.25	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.108
1	57	1	1	2.5	15.41667	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.216
1	58	1	1	3.666667	16.25	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.218
1	59	1	1	2.5	19.58333	0	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.11
1	60	1	1	2.5	19.16667	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.108
1	61	1	1	3.666667	17.5	0	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.108
1	62	1	1	2.5	15.41667	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.107
1	63	1	1	4.833333	15	0	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.111
1	64	1	1	3.666667	19.16667	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.107
1	65	1	1	4.833333	18.75	0	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.109
1	66	1	1	4.833333	17.08333	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.109
1	67	1	1	4.833333	16.25	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.108
1	68	1	1	3.666667	16.25	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.217
1	69	1	1	4.833333	15.83333	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.217
1	70	1	1	3.666667	17.5	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.218
1	71	1	1	4.833333	15.41667	1	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.218
1	72	1	1	4.833333	17.91667	0	77.94	85.04	89.46	57.36	80.75	79.37	-26.40493	-5.044686	-11.27878	0.215
